Jurisdictions,Effective Date,Valid Through Date,Bans_Prohibit,_citation_Bans_Prohibit,_caution_Bans_Prohibit,Prohibit_Req,_citation_Prohibit_Req,_caution_Prohibit_Req,Prohibit_When,_citation_Prohibit_When,_caution_Prohibit_When,Prohibit_Exc,_citation_Prohibit_Exc,_caution_Prohibit_Exc,Exc_Req,_citation_Exc_Req,_caution_Exc_Req,Reason_Prohibit,_citation_Reason_Prohibit,_caution_Reason_Prohibit,Reason_What,_citation_Reason_What,_caution_Reason_What,Methods_Prohibit,_citation_Methods_Prohibit,_caution_Methods_Prohibit,Methods_Proced,_citation_Methods_Proced,_caution_Methods_Proced,Methods_Exc,_citation_Methods_Exc,_caution_Methods_Exc,Limited_Law,_citation_Limited_Law,_caution_Limited_Law,Limited_Court,_citation_Limited_Court,_caution_Limited_Court,Limited_AG,_citation_Limited_AG,_caution_Limited_AG
Georgia,5/9/2017,12/1/2018,1,20 weeks - Ga. Code § 16-12-141 ( Full Title: Ga. Code § 16-12-141. When and where procedure authorized; physician authorized to perform procedure),,1,20 weeks - Ga. Code § 16-12-141 ( Full Title: Ga. Code § 16-12-141. When and where procedure authorized; physician authorized to perform procedure),,20 weeks postfertilization (22 weeks LMP),20 weeks - Ga. Code § 16-12-141 ( Full Title: Ga. Code § 16-12-141. When and where procedure authorized; physician authorized to perform procedure),,"Life endangerment, Serious health risk, Fetal anomaly",20 weeks - Ga. Code § 16-12-141 ( Full Title: Ga. Code § 16-12-141. When and where procedure authorized; physician authorized to perform procedure),The exception for serious risk is limited to physical health. Ga. Code § 16-12-141 (c)(1)(A).,"Must use a method most likely to result in fetal survival, Two other physicians must certify the exception","post 20 week requirements - Ga. Code § 16-12-141 ( Full Title: Ga. Code § 16-12-141. When and where procedure authorized; physician authorized to perform procedure), after 1st trimester requirements - Ga. Code § 16-12-141 ( Full Title: Ga. Code § 16-12-141. When and where procedure authorized; physician authorized to perform procedure), after 1st trimester - Ga. Comp. R. & Regs. 209-5-32-.02 ( Full Title: Ga. Comp. R. & Regs. 209-5-32-.02. Regulation of Abortion Procedures Subsequent to the First Trimester), after 2nd trimester - Ga. Comp. R. & Regs. 209-5-32-.02 ( Full Title: Ga. Comp. R. & Regs. 209-5-32-.02. Regulation of Abortion Procedures Subsequent to the First Trimester)","The requirement for two other physicians to certify the exception only applies to the exceptions for life and health endangerment, but not to the fetal anomaly exception. Ga. Comp. R. & Regs. 209-5-32-.02 (2).",0,,,,,,1,ban - Ga. Code § 16-12-144 ( Full Title: Ga. Code § 16-12-144. Partial-birth abortion),,Partial-birth abortions,"ban - Ga. Code § 16-12-144 ( Full Title: Ga. Code § 16-12-144. Partial-birth abortion), partial-birth abortion means - Ga. Code § 16-12-144 ( Full Title: Ga. Code § 16-12-144. Partial-birth abortion)",,Life endangerment,ban - Ga. Code § 16-12-144 ( Full Title: Ga. Code § 16-12-144. Partial-birth abortion),,0,,,0,,,0,,
Hawaii,4/3/2008,12/1/2018,0,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
Idaho,3/6/2013,12/1/2018,1,20 weeks - Idaho Code § 18-505 ( Full Title: Idaho Code § 18-505. Abortion of unborn child of twenty or more weeks postfertilization age prohibited),,1,20 weeks - Idaho Code § 18-505 ( Full Title: Idaho Code § 18-505. Abortion of unborn child of twenty or more weeks postfertilization age prohibited),,20 weeks postfertilization (22 weeks LMP),20 weeks - Idaho Code § 18-505 ( Full Title: Idaho Code § 18-505. Abortion of unborn child of twenty or more weeks postfertilization age prohibited),Idaho also bans third trimester abortions. Idaho Code § 18-608,"Life endangerment, Serious health risk",exceptions - Idaho Code § 18-505 ( Full Title: Idaho Code § 18-505. Abortion of unborn child of twenty or more weeks postfertilization age prohibited),The exception for serious health risk is limited to physical health. Idaho Code § 18-505.,No requirements,,,0,,,,,,1,partial-birth abortion - Idaho Code § 18-613 ( Full Title: Idaho Code § 18-613. Partial-birth abortions prohibited),,Partial-birth abortions,partial-birth abortion - Idaho Code § 18-613 ( Full Title: Idaho Code § 18-613. Partial-birth abortions prohibited),,Life endangerment,exceptions - Idaho Code § 18-613 ( Full Title: Idaho Code § 18-613. Partial-birth abortions prohibited),,1,"mccormack - McCormack v. Hiedeman, 900 F.Supp.2d 1128 ( ( Full Title: McCormack v. Hiedeman, 900 F.Supp.2d 1128 (D. Idaho 2013))",,1,"mccormack - McCormack v. Hiedeman, 900 F.Supp.2d 1128 ( ( Full Title: McCormack v. Hiedeman, 900 F.Supp.2d 1128 (D. Idaho 2013))","The Court held that the categorical ban on non-therapeutic abortions at 20 weeks was unconstitutional because it unduly burdened abortion rights. McCormack v. Hiedeman, 900 F.Supp.2d 1128 (D. Idaho 2013).",0,,
Illinois,2/13/1998,12/1/2018,1,"viability ban - 720 Ill. Comp. Stat. 510/5 ( Full Title: 720 Ill. Comp. Stat. 510/5. Preservation of life and health of mother; viability of fetus), pba ban - 720 Ill. Comp. Stat. 513/10 ( Full Title: 720 Ill. Comp. Stat. 513/10. Partial-birth abortions prohibited), sex ban - 720 Ill. Comp. Stat. 510/6 ( Full Title: 720 Ill. Comp. Stat. 510/6. Preservation of life and health of fetus; intentionally taking life of fetus; experimentation with fetus)",,1,viability ban - 720 Ill. Comp. Stat. 510/5 ( Full Title: 720 Ill. Comp. Stat. 510/5. Preservation of life and health of mother; viability of fetus),,Viability,viability ban - 720 Ill. Comp. Stat. 510/5 ( Full Title: 720 Ill. Comp. Stat. 510/5. Preservation of life and health of mother; viability of fetus),,"Life endangerment, Health",viability ban - 720 Ill. Comp. Stat. 510/5 ( Full Title: 720 Ill. Comp. Stat. 510/5. Preservation of life and health of mother; viability of fetus),,"Must use a method most likely to result in fetal survival, Second physician must attend the abortion",viability requirements - 720 Ill. Comp. Stat. 510/6 ( Full Title: 720 Ill. Comp. Stat. 510/6. Preservation of life and health of fetus; intentionally taking life of fetus; experimentation with fetus),,1,sex ban - 720 Ill. Comp. Stat. 510/6 ( Full Title: 720 Ill. Comp. Stat. 510/6. Preservation of life and health of fetus; intentionally taking life of fetus; experimentation with fetus),,Sex,sex ban - 720 Ill. Comp. Stat. 510/6 ( Full Title: 720 Ill. Comp. Stat. 510/6. Preservation of life and health of fetus; intentionally taking life of fetus; experimentation with fetus),,1,pba ban - 720 Ill. Comp. Stat. 513/10 ( Full Title: 720 Ill. Comp. Stat. 513/10. Partial-birth abortions prohibited),,Partial-birth abortions,pba ban - 720 Ill. Comp. Stat. 513/10 ( Full Title: 720 Ill. Comp. Stat. 513/10. Partial-birth abortions prohibited),,Life endangerment,pba ban - 720 Ill. Comp. Stat. 513/10 ( Full Title: 720 Ill. Comp. Stat. 513/10. Partial-birth abortions prohibited),,1,"herbst - Herbst v. O'Malley, No. 84 C 5602, 1993 WL 59142, at *2 (N.D. Ill. Mar. 2, 1993) ( Full Title: Herbst v. O'Malley, No. 84 C 5602, 1993 WL 59142, at *2 (N.D. Ill. Mar. 2, 1993))",,1,"herbst - Herbst v. O'Malley, No. 84 C 5602, 1993 WL 59142, at *2 (N.D. Ill. Mar. 2, 1993) ( Full Title: Herbst v. O'Malley, No. 84 C 5602, 1993 WL 59142, at *2 (N.D. Ill. Mar. 2, 1993))","Enforcement of 720 Ill. Comp. Stat. 510/6 total prohibition of abortions based on the sex of the fetus to pre-viability abortions is enjoined.Herbst v. O'Malley, No. 84 C 5602, 1993 WL 59142, at *2 (N.D. Ill. Mar. 2, 1993)",0,,
Indiana,7/1/2018,12/1/2018,1,"viability or 20 weeks - Ind. Code § 16-34-2-1 ( Full Title: Ind. Code § 16-34-2-1.Required circumstances of legal abortion), sex selective abortion - Ind. Code § 16-34-4-5 ( Full Title: Ind. Code § 16-34-4-5. Performed abortion; sex selective abortion prohibited; severability), down syndrome - Ind. Code § 16-34-4-6 ( Full Title: Ind. Code § 16-34-4-6. Perform abortion; Down syndrome; severability), disability - Ind. Code § 16-34-4-7 ( Full Title: Ind. Code § 16-34-4-7. Perform abortion; any other disability; severability), race - Ind. Code § 16-34-4-8 ( Full Title: Ind. Code § 16-34-4-8. Perform abortion; race, color, national origin or ancestry; severability)",,1,viability or 20 weeks - Ind. Code § 16-34-2-1 ( Full Title: Ind. Code § 16-34-2-1.Required circumstances of legal abortion),,20 weeks postfertilization (22 weeks LMP),viability or 20 weeks - Ind. Code § 16-34-2-1 ( Full Title: Ind. Code § 16-34-2-1.Required circumstances of legal abortion),There are two abortion bans in Indiana: a 20-week post-fertilization ban and a viability ban. Ind. Code § 16-34-4-8.,"Life endangerment, Serious health risk",viability or 20 weeks - Ind. Code § 16-34-2-1 ( Full Title: Ind. Code § 16-34-2-1.Required circumstances of legal abortion),,"Must be performed in a hospital, Must use a method most likely to result in fetal survival, Second physician must attend the abortion","exception requirements - Ind. Code § 16-34-2-3 ( Full Title: Ind. Code § 16-34-2-3. Viable fetus; requirements; preservation of life and health of viable unborn child; certificates of birth and death; offense of failure to preserve life; ward status of child), viability or 20 weeks - Ind. Code § 16-34-2-1 ( Full Title: Ind. Code § 16-34-2-1.Required circumstances of legal abortion)",,1,,,"Race, Sex, Down syndrome, Fetal anomaly","down syndrome - Ind. Code § 16-34-4-6 ( Full Title: Ind. Code § 16-34-4-6. Perform abortion; Down syndrome; severability), sex selective abortion - Ind. Code § 16-34-4-5 ( Full Title: Ind. Code § 16-34-4-5. Performed abortion; sex selective abortion prohibited; severability), disability - Ind. Code § 16-34-4-7 ( Full Title: Ind. Code § 16-34-4-7. Perform abortion; any other disability; severability), race - Ind. Code § 16-34-4-8 ( Full Title: Ind. Code § 16-34-4-8. Perform abortion; race, color, national origin or ancestry; severability)",,1,partial birth abortion - Ind. Code § 16-34-2-1 ( Full Title: Ind. Code § 16-34-2-1.Required circumstances of legal abortion),,Partial-birth abortions,partial birth abortion - Ind. Code § 16-34-2-1 ( Full Title: Ind. Code § 16-34-2-1.Required circumstances of legal abortion),,Life endangerment,partial birth abortion - Ind. Code § 16-34-2-1 ( Full Title: Ind. Code § 16-34-2-1.Required circumstances of legal abortion),,1,"planned parenthood - Planned Parenthood of Indiana and Kentucky v. Commissioner of Indiana State Department of Health, 888 F.3d 300 (7th ( Full Title: Planned Parenthood of Indiana and Kentucky v. Commissioner of Indiana State Department of Health, 888 F.3d 300 (7th Cir. 2018))",,1,"planned parenthood - Planned Parenthood of Indiana and Kentucky v. Commissioner of Indiana State Department of Health, 888 F.3d 300 (7th ( Full Title: Planned Parenthood of Indiana and Kentucky v. Commissioner of Indiana State Department of Health, 888 F.3d 300 (7th Cir. 2018))","Held IC §§ 16-34-4 --16-34-8 unconstitutional. Held that the anti-discrimination clause violated a woman's right to due process to choose to terminate her pregnancy. Planned Parenthood of Indiana and Kentucky v. Commissioner of Indiana State Department of Health, 888 F.3d 300 (7th Cir. 2018).",0,,
Iowa,7/1/2018,12/1/2018,1,"20 week ban - Iowa Code § 146B.2. ... ( Full Title: Iowa Code § 146B.2. Determination of postfertilization age--abortion prohibited at twenty or more weeks postfertilization age--exceptions--reporting requirements--penalties.), heartbeat ban - Iowa Code § 146C.2. ... ( Full Title: Iowa Code § 146C.2. Abortion prohibited--detectable fetal heartbeat.), third trimester ban - Iowa Code § 707.7 ( Full Title: Iowa Code § 707.7. Feticide.), pba ban - Iowa Code § 707.8 ( Full Title: Iowa Code § 707.8A. Partial-birth abortion prohibited--exceptions--penalties.)",,1,"20 week ban - Iowa Code § 146B.2. ... ( Full Title: Iowa Code § 146B.2. Determination of postfertilization age--abortion prohibited at twenty or more weeks postfertilization age--exceptions--reporting requirements--penalties.), heartbeat ban - Iowa Code § 146C.2. ... ( Full Title: Iowa Code § 146C.2. Abortion prohibited--detectable fetal heartbeat.), third trimester ban - Iowa Code § 707.7 ( Full Title: Iowa Code § 707.7. Feticide.)",,Fetal heartbeat,heartbeat ban - Iowa Code § 146C.2. ... ( Full Title: Iowa Code § 146C.2. Abortion prohibited--detectable fetal heartbeat.),Iowa also bans abortions at 20 weeks and the third trimester. Iowa Code § 146B.2; Iowa Code § 707.7.,"Life endangerment, Serious health risk, Fetal anomaly, Rape, Incest","exceptions - Iowa Code § 146C.2. ... ( Full Title: Iowa Code § 146C.2. Abortion prohibited--detectable fetal heartbeat.), medically necessary - Iowa Code § 146C.1. ... ( Full Title: Iowa Code § 146C.1. Definitions), medical emergency - Iowa Code § 146A.1. ... ( Full Title: Iowa Code § 146A.1. Prerequisites for abortion--ultrasound--licensee discipline--interpretation)",The fetal anomaly exception applies to lethal fetal anomaly only. Iowa Code § 146C.1,No requirements,medically necessary - Iowa Code § 146C.1. ... ( Full Title: Iowa Code § 146C.1. Definitions),,0,,,,,,1,pba ban - Iowa Code § 707.8 ( Full Title: Iowa Code § 707.8A. Partial-birth abortion prohibited--exceptions--penalties.),,Partial-birth abortions,pba ban - Iowa Code § 707.8 ( Full Title: Iowa Code § 707.8A. Partial-birth abortion prohibited--exceptions--penalties.),,Life endangerment,pba ban - Iowa Code § 707.8 ( Full Title: Iowa Code § 707.8A. Partial-birth abortion prohibited--exceptions--penalties.),,1,"heartbeat injunction - PLANNED PARENTHOOD ET AL VS GOVERNOR KIMBERLY REYNOLDS ET AL, Case no. EQCE083074, ( ( Full Title: PLANNED PARENTHOOD ET AL VS GOVERNOR KIMBERLY REYNOLDS ET AL, Case no. EQCE083074, (June 2018)), PBA case law - Planned Parenthood of Greater Iowa, Inc. v. Miller, C.A.8 (Iowa) 1999, 195 ( Full Title: Planned Parenthood of Greater Iowa, Inc. v. Miller, C.A.8 (Iowa) 1999, 195 F.3d 386)",,1,"PBA case law - Planned Parenthood of Greater Iowa, Inc. v. Miller, C.A.8 (Iowa) 1999, 195 ( Full Title: Planned Parenthood of Greater Iowa, Inc. v. Miller, C.A.8 (Iowa) 1999, 195 F.3d 386), heartbeat injunction - PLANNED PARENTHOOD ET AL VS GOVERNOR KIMBERLY REYNOLDS ET AL, Case no. EQCE083074, ( ( Full Title: PLANNED PARENTHOOD ET AL VS GOVERNOR KIMBERLY REYNOLDS ET AL, Case no. EQCE083074, (June 2018))","The Eighth Circuit Court of Appeals held Iowa's “partial-birth abortion” ban act (Iowa Code § 707.8A) unconstitutional because, by prohibiting the D&E and suction-curettage procedures, it created an undue burden on women's right to choose.Planned Parenthood of Greater Iowa, Inc. v. Miller, 195 F.3d 386, 388 (8th Cir. 1999)Iowa ""heartbeat ban,"" Iowa Code § 146C.2, is temporarily enjoined in Planned Parenthood, et al. v. Reynolds, et al. (June 2018) pending ongoing litigation.",0,,
Kansas,1/22/2016,12/1/2018,1,"pain-capable abortion ban - Kan. Stat. § 65-6724 ( Full Title: Kan. Stat. § 65-6724. Same; certain abortions prohibited, exceptions; determination of gestational age; civil action; criminal penalties)",,1,"pain-capable abortion ban - Kan. Stat. § 65-6724 ( Full Title: Kan. Stat. § 65-6724. Same; certain abortions prohibited, exceptions; determination of gestational age; civil action; criminal penalties)",,20 weeks postfertilization (22 weeks LMP),"Abortion prohibited after 22 weeks - Kan. Admin. Regs. § 28-56-3. Reporting requirements for abortions performed at clinical estimate of gestation of at least 22 weeks ( Full Title: Kan. Admin. Regs. § 28-56-3. Reporting requirements for abortions performed at clinical estimate of gestation of at least 22 weeks), viable ban - Kan. Stat. § 65-6703 ( Full Title: Kan. Stat. § 65-6703. Abortion when unborn child viable; restrictions and prohibitions; civil damages and criminal penalties for violations), pain-capable abortion ban - Kan. Stat. § 65-6724 ( Full Title: Kan. Stat. § 65-6724. Same; certain abortions prohibited, exceptions; determination of gestational age; civil action; criminal penalties), \pain-capable unborn child means - Kan. Stat. § 65-6723 ( Full Title: Kan. Stat. § 65-6723. Same; definitions)","There are two bans in Kansas:  Pursuant to Kan. Admin. Regs. § 28-56-3, abortions performed after ""the unborn child is viable"" are banned; Pursuant to Kan. Stat. § 65-6724, abortions performed ""upon a pain-capable unborn child"" are banned and a ""pain-capable unborn child"" means ""an unborn child having reached the gestational age of 22 weeks or more."" Kan. Stat. § 65-6701(f).","Life endangerment, Serious health risk","pain-capable abortion ban - Kan. Stat. § 65-6724 ( Full Title: Kan. Stat. § 65-6724. Same; certain abortions prohibited, exceptions; determination of gestational age; civil action; criminal penalties)",limited to physical health. Kan. Stat. § 65-6724(a)(2).,Second physician must certify the exception,"pain-capable abortion ban - Kan. Stat. § 65-6724 ( Full Title: Kan. Stat. § 65-6724. Same; certain abortions prohibited, exceptions; determination of gestational age; civil action; criminal penalties)",,1,sex ban - Kan. Stat. § 65-6726 ( Full Title: Kan. Stat. § 65-6726. Abortion based on gender; prohibited),,Sex,sex ban - Kan. Stat. § 65-6726 ( Full Title: Kan. Stat. § 65-6726. Abortion based on gender; prohibited),,1,"Partial birth abortion - Kan. Stat. § 65-6721 ( Full Title: Kan. Stat. § 65-6721. Partial birth abortions; restrictions and prohibitions; civil damages and criminal penalties for violations), Dismemberment abortion - Kan. Stat. § 65-6743 ( Full Title: Kan. Stat. § 65-6743. Dismemberment abortion prohibited; exceptions)",,"Partial-birth abortions, Dismemberment abortions","Partial birth abortion - Kan. Stat. § 65-6721 ( Full Title: Kan. Stat. § 65-6721. Partial birth abortions; restrictions and prohibitions; civil damages and criminal penalties for violations), Dismemberment abortion - Kan. Stat. § 65-6743 ( Full Title: Kan. Stat. § 65-6743. Dismemberment abortion prohibited; exceptions)",,"Life endangerment, Serious health risk","Partial birth abortion - Kan. Stat. § 65-6721 ( Full Title: Kan. Stat. § 65-6721. Partial birth abortions; restrictions and prohibitions; civil damages and criminal penalties for violations), Dismemberment abortion - Kan. Stat. § 65-6743 ( Full Title: Kan. Stat. § 65-6743. Dismemberment abortion prohibited; exceptions)",Partial-birth abortions are permitted if two physicians determine that it is necessary to save the life of the patient. Kan. Stat. § 65-6721(a).Dismemberment abortions are permitted if two physicians determine that is necessary to save the life of the patient or if there is a risk of substantial and irreversible physical impairment of a major bodily function. Kan. Stat. § 65-6743(a).,1,"Hodes & Nauser - Hodes & Nauser, MDs,... ( Full Title: Hodes & Nauser, MDs, P.A. v. Schmidt (Kansas Court of Appeals))",,1,"Hodes & Nauser - Hodes & Nauser, MDs,... ( Full Title: Hodes & Nauser, MDs, P.A. v. Schmidt (Kansas Court of Appeals))","The Court of Appeals, equally divided, affirmed a district court's grant of a temporary injunction staying enforcement, on state constitutional grounds, of the Kansas Unborn Child Protection from Dismemberment Abortion Act, which would ban, with limited exceptions,the “dilation and evacuation” or “D & E” abortion procedure.",0,,
Kentucky,4/10/2018,12/1/2018,1,"viability - Ky. Rev. Stat. § 311.780 ( Full Title: Ky. Rev. Stat. § 311.780.Prohibition of abortion after viability; exceptions), 20 weeks - Ky. Rev. Stat. § 311.782 ( Full Title: Ky. Rev. Stat. § 311.782.Prohibition against performing or inducing abortion when probable post-fertilization age of unborn child is twenty weeks or more; affirmative defenses; penalties for violation), partial-birth abortion - Ky. Rev. Stat. § 311.765 ( Full Title: Ky. Rev. Stat. § 311.765.Prohibition against partial-birth abortion), saline method - Ky. Rev. Stat. § 311.770 ( Full Title: Ky. Rev. Stat. § 311.770.Restriction on use of saline method), bodily dismemberment - Ky. Rev. Stat. § 311.787.Prohibit certain abortion procedures when the probable post-fertilization age of the unborn child is 11 weeks ( Full Title: Ky. Rev. Stat. § 311.787.Prohibit certain abortion procedures when the probable post-fertilization age of the unborn child is 11 weeks or greater, except in the case of a medical emergency; penalty not to apply to pregnant woman; class D felony)",,1,"20 weeks - Ky. Rev. Stat. § 311.782 ( Full Title: Ky. Rev. Stat. § 311.782.Prohibition against performing or inducing abortion when probable post-fertilization age of unborn child is twenty weeks or more; affirmative defenses; penalties for violation), viability - Ky. Rev. Stat. § 311.780 ( Full Title: Ky. Rev. Stat. § 311.780.Prohibition of abortion after viability; exceptions)",,20 weeks postfertilization (22 weeks LMP),20 weeks - Ky. Rev. Stat. § 311.782 ( Full Title: Ky. Rev. Stat. § 311.782.Prohibition against performing or inducing abortion when probable post-fertilization age of unborn child is twenty weeks or more; affirmative defenses; penalties for violation),"There are three bans in Kentucky: a 20-week postfertilization ban, a post-viability ban, and a total ban. Ky. Rev. Stat. § 311.723 (1); Ky. Rev. Stat. § 311.780; Ky. Rev. Stat. § 311.782 (1).","Life endangerment, Serious health risk",20 weeks - Ky. Rev. Stat. § 311.782 ( Full Title: Ky. Rev. Stat. § 311.782.Prohibition against performing or inducing abortion when probable post-fertilization age of unborn child is twenty weeks or more; affirmative defenses; penalties for violation),,"Must be performed in a hospital, Must use a method most likely to result in fetal survival, Second physician must certify the exception, Second physician must attend the abortion",exception requirements - Ky. Rev. Stat. § 311.782 ( Full Title: Ky. Rev. Stat. § 311.782.Prohibition against performing or inducing abortion when probable post-fertilization age of unborn child is twenty weeks or more; affirmative defenses; penalties for violation),,0,,,,,,1,"partial-birth abortion - Ky. Rev. Stat. § 311.765 ( Full Title: Ky. Rev. Stat. § 311.765.Prohibition against partial-birth abortion), saline method - Ky. Rev. Stat. § 311.770 ( Full Title: Ky. Rev. Stat. § 311.770.Restriction on use of saline method), bodily dismemberment - Ky. Rev. Stat. § 311.787.Prohibit certain abortion procedures when the probable post-fertilization age of the unborn child is 11 weeks ( Full Title: Ky. Rev. Stat. § 311.787.Prohibit certain abortion procedures when the probable post-fertilization age of the unborn child is 11 weeks or greater, except in the case of a medical emergency; penalty not to apply to pregnant woman; class D felony)",,"Partial-birth abortions, Dismemberment abortions, Saline method abortions","saline method - Ky. Rev. Stat. § 311.770 ( Full Title: Ky. Rev. Stat. § 311.770.Restriction on use of saline method), partial-birth abortion - Ky. Rev. Stat. § 311.765 ( Full Title: Ky. Rev. Stat. § 311.765.Prohibition against partial-birth abortion), bodily dismemberment - Ky. Rev. Stat. § 311.787.Prohibit certain abortion procedures when the probable post-fertilization age of the unborn child is 11 weeks ( Full Title: Ky. Rev. Stat. § 311.787.Prohibit certain abortion procedures when the probable post-fertilization age of the unborn child is 11 weeks or greater, except in the case of a medical emergency; penalty not to apply to pregnant woman; class D felony)",After the first trimester no person shall perform the form of abortion known as the saline method of abortion. Ky. Rev. Stat. §311.770. The prohibition on dismemberment abortions applies only when the probable post-fertilization age of the fetus is eleven (11) weeks or greater. Ky. Rev. Stat. § 311.787 (2).,"Life endangerment, Serious health risk","bodily dismemberment - Ky. Rev. Stat. § 311.787.Prohibit certain abortion procedures when the probable post-fertilization age of the unborn child is 11 weeks ( Full Title: Ky. Rev. Stat. § 311.787.Prohibit certain abortion procedures when the probable post-fertilization age of the unborn child is 11 weeks or greater, except in the case of a medical emergency; penalty not to apply to pregnant woman; class D felony)",The exceptions apply only to dismemberment abortions. Ky. Rev. Stat. § 311.787.,1,"wolfe - Wolfe v. Schroering,... ( Full Title: Wolfe v. Schroering, 6thCir., 541 F.2d 523)",,1,"wolfe - Wolfe v. Schroering,... ( Full Title: Wolfe v. Schroering, 6thCir., 541 F.2d 523)","The Sixth Circuit held that the statute restricting the use of the saline method of abortion was unconstitutional. Wolfe v. Schroering, 541 F.2d 523 (6th Cir. 1976).",0,,
Louisiana,5/23/2018,12/1/2018,1,"dismemberment - La. Rev. Stat. § 14: 32.9.1 ( Full Title: La. Rev. Stat. § 14: 32.9.1. Aggravated criminal abortion by dismemberment), pba ban - La. Rev. Stat. § 14: 32.10 ( Full Title: La. Rev. Stat. § 14: 32.10. Partial birth abortion), 20 week ban - La. Rev. Stat. § 40:1061.1 ( Full Title: La. Rev. Stat. § 40:1061.1. Pain-Capable Unborn Child Protection Act), genetic - La. Rev. Stat. § 40: 1061.1.2 ( Full Title: La. Rev. Stat. § 40: 1061.1.2. Abortion based on genetic abnormality; prohibition)",,1,20 week ban - La. Rev. Stat. § 40:1061.1 ( Full Title: La. Rev. Stat. § 40:1061.1. Pain-Capable Unborn Child Protection Act),,20 weeks postfertilization (22 weeks LMP),20 week ban - La. Rev. Stat. § 40:1061.1 ( Full Title: La. Rev. Stat. § 40:1061.1. Pain-Capable Unborn Child Protection Act),Louisiana also bans abortions at viability. La. Rev. Stat. § 40: 1061.13,"Life endangerment, Serious health risk, Fetal anomaly","20 week ban - La. Rev. Stat. § 40:1061.1 ( Full Title: La. Rev. Stat. § 40:1061.1. Pain-Capable Unborn Child Protection Act), lethal fetal anomaly - La. Rev. Stat. § 40:1061.1 ( Full Title: La. Rev. Stat. § 40:1061.1. Pain-Capable Unborn Child Protection Act)",Serious health risk exception limited to physical conditions only. The exception for fetal anomaly applies to lethal fetal anomaly only. La. Rev. Stat. § 40:1061.1,No requirements,,,1,genetic - La. Rev. Stat. § 40: 1061.1.2 ( Full Title: La. Rev. Stat. § 40: 1061.1.2. Abortion based on genetic abnormality; prohibition),,"Down syndrome, Fetal anomaly",genetic - La. Rev. Stat. § 40: 1061.1.2 ( Full Title: La. Rev. Stat. § 40: 1061.1.2. Abortion based on genetic abnormality; prohibition),,1,"dismemberment - La. Rev. Stat. § 14: 32.9.1 ( Full Title: La. Rev. Stat. § 14: 32.9.1. Aggravated criminal abortion by dismemberment), pba ban - La. Rev. Stat. § 14: 32. 32.11 ( Full Title: La. Rev. Stat. § 14: 32. 32.11. Partial birth abortion), dismemberment - La. Rev. Stat. § 40: 1061.1.1 ( Full Title: La. Rev. Stat. § 40: 1061.1.1. Louisiana Unborn Child Protection from Dismemberment Abortion Act)",,"Partial-birth abortions, Dismemberment abortions","dismemberment - La. Rev. Stat. § 40: 1061.1.1 ( Full Title: La. Rev. Stat. § 40: 1061.1.1. Louisiana Unborn Child Protection from Dismemberment Abortion Act), pba ban - La. Rev. Stat. § 14: 32. 32.11 ( Full Title: La. Rev. Stat. § 14: 32. 32.11. Partial birth abortion)",,"Life endangerment, Serious health risk","dismemberment - La. Rev. Stat. § 40: 1061.1.1 ( Full Title: La. Rev. Stat. § 40: 1061.1.1. Louisiana Unborn Child Protection from Dismemberment Abortion Act), pba ban - La. Rev. Stat. § 14: 32. 32.11 ( Full Title: La. Rev. Stat. § 14: 32. 32.11. Partial birth abortion)",The exception for serious health risk is limited to physical conditions and does not apply to partial-birth abortions. La. Rev. Stat. § 40: 1061.1.1,1,"june med - June Med. Servs. LLC v. Gee, 280 F. Supp. 3d 849 ( ( Full Title: June Med. Servs. LLC v. Gee, 280 F. Supp. 3d 849 (M.D. La. 2017))",,1,"june med - June Med. Servs. LLC v. Gee, 280 F. Supp. 3d 849 ( ( Full Title: June Med. Servs. LLC v. Gee, 280 F. Supp. 3d 849 (M.D. La. 2017))","State law prohibiting dilation and evacuation (D & E) abortions without fetal demise (La. Rev. Stat. § 40: 1061.1.1) currently not enforced by agreement pending litigation. See June Med. Servs. LLC v. Gee, 280 F. Supp. 3d 849 (M.D. La. 2017)",0,,
Maine,4/15/1993,12/1/2018,1,abortion - Me. Rev. Stat. tit. 22 § 1598 ( Full Title: Me. Rev. Stat. tit. 22 § 1598. Abortions),,1,abortion - Me. Rev. Stat. tit. 22 § 1598 ( Full Title: Me. Rev. Stat. tit. 22 § 1598. Abortions),,Viability,abortion - Me. Rev. Stat. tit. 22 § 1598 ( Full Title: Me. Rev. Stat. tit. 22 § 1598. Abortions),,"Life endangerment, Health",abortion - Me. Rev. Stat. tit. 22 § 1598 ( Full Title: Me. Rev. Stat. tit. 22 § 1598. Abortions),,No requirements,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
Maryland,10/1/2005,12/1/2018,0,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
